Precinct,Race,LEG,CC,CG,CounterGroup,Party,CounterType,SumOfCount
SAM 41-2469,State of Washington US President & Vice President,41,0,8,Total,Republican Party Nominees,Donald J. Trump and Michael R. Pence,134
SAM 41-2469,State of Washington US President & Vice President,41,0,8,Total,Socialism and Liberation Party Nominees,Gloria La Riva and Sunil Freeman,0
SAM 41-2469,State of Washington US President & Vice President,41,0,8,Total,Democratic Party Nominees,Joseph R. Biden and Kamala D. Harris,333
SAM 41-2469,State of Washington US President & Vice President,41,0,8,Total,,Write-in,4
SAM 41-2469,State of Washington US President & Vice President,41,0,8,Total,Libertarian Party Nominees,"Jo Jorgensen and Jeremy ""Spike"" Cohen",9
SAM 41-2469,State of Washington US President & Vice President,41,0,8,Total,Green Party Nominees,Howie Hawkins and Angela Walker,2
KIR 45-2471,State of Washington US President & Vice President,45,0,1,Total,Socialist Workers Party Nominees,Alyson Kennedy and Malcolm M. Jarrett,0
KIR 45-2471,State of Washington US President & Vice President,45,0,1,Total,Republican Party Nominees,Donald J. Trump and Michael R. Pence,135
KIR 45-2471,State of Washington US President & Vice President,45,0,1,Total,Socialism and Liberation Party Nominees,Gloria La Riva and Sunil Freeman,1
KIR 45-2471,State of Washington US President & Vice President,45,0,1,Total,Democratic Party Nominees,Joseph R. Biden and Kamala D. Harris,402
KIR 45-2471,State of Washington US President & Vice President,45,0,1,Total,,Write-in,5
KIR 45-2471,State of Washington US President & Vice President,45,0,1,Total,Libertarian Party Nominees,"Jo Jorgensen and Jeremy ""Spike"" Cohen",11
KIR 45-2471,State of Washington US President & Vice President,45,0,1,Total,Green Party Nominees,Howie Hawkins and Angela Walker,1
RNT 33-2472,State of Washington US President & Vice President,33,0,9,Total,Socialist Workers Party Nominees,Alyson Kennedy and Malcolm M. Jarrett,0
RNT 33-2472,State of Washington US President & Vice President,33,0,9,Total,Republican Party Nominees,Donald J. Trump and Michael R. Pence,179
RNT 33-2472,State of Washington US President & Vice President,33,0,9,Total,Socialism and Liberation Party Nominees,Gloria La Riva and Sunil Freeman,0
RNT 33-2472,State of Washington US President & Vice President,33,0,9,Total,Democratic Party Nominees,Joseph R. Biden and Kamala D. Harris,482
RNT 33-2472,State of Washington US President & Vice President,33,0,9,Total,,Write-in,5
RNT 33-2472,State of Washington US President & Vice President,33,0,9,Total,Libertarian Party Nominees,"Jo Jorgensen and Jeremy ""Spike"" Cohen",8
RNT 33-2472,State of Washington US President & Vice President,33,0,9,Total,Green Party Nominees,Howie Hawkins and Angela Walker,3
BOT 01-2473,State of Washington US President & Vice President,1,0,1,Total,Socialist Workers Party Nominees,Alyson Kennedy and Malcolm M. Jarrett,0
BOT 01-2473,State of Washington US President & Vice President,1,0,1,Total,Republican Party Nominees,Donald J. Trump and Michael R. Pence,131
BOT 01-2473,State of Washington US President & Vice President,1,0,1,Total,Socialism and Liberation Party Nominees,Gloria La Riva and Sunil Freeman,2
BOT 01-2473,State of Washington US President & Vice President,1,0,1,Total,Democratic Party Nominees,Joseph R. Biden and Kamala D. Harris,339
BOT 01-2473,State of Washington US President & Vice President,1,0,1,Total,,Write-in,5
BOT 01-2473,State of Washington US President & Vice President,1,0,1,Total,Libertarian Party Nominees,"Jo Jorgensen and Jeremy ""Spike"" Cohen",6
BOT 01-2473,State of Washington US President & Vice President,1,0,1,Total,Green Party Nominees,Howie Hawkins and Angela Walker,2
NPK 33-2474,State of Washington US President & Vice President,33,0,7,Total,Socialist Workers Party Nominees,Alyson Kennedy and Malcolm M. Jarrett,0
NPK 33-2474,State of Washington US President & Vice President,33,0,7,Total,Republican Party Nominees,Donald J. Trump and Michael R. Pence,139
NPK 33-2474,State of Washington US President & Vice President,33,0,7,Total,Socialism and Liberation Party Nominees,Gloria La Riva and Sunil Freeman,0
NPK 33-2474,State of Washington US President & Vice President,33,0,7,Total,Democratic Party Nominees,Joseph R. Biden and Kamala D. Harris,261
NPK 33-2474,State of Washington US President & Vice President,33,0,7,Total,,Write-in,1
NPK 33-2474,State of Washington US President & Vice President,33,0,7,Total,Libertarian Party Nominees,"Jo Jorgensen and Jeremy ""Spike"" Cohen",5
NPK 33-2474,State of Washington US President & Vice President,33,0,7,Total,Green Party Nominees,Howie Hawkins and Angela Walker,0
RNT 11-2475,State of Washington US President & Vice President,11,0,9,Total,Socialist Workers Party Nominees,Alyson Kennedy and Malcolm M. Jarrett,0
RNT 11-2475,State of Washington US President & Vice President,11,0,9,Total,Republican Party Nominees,Donald J. Trump and Michael R. Pence,175
RNT 11-2475,State of Washington US President & Vice President,11,0,9,Total,Socialism and Liberation Party Nominees,Gloria La Riva and Sunil Freeman,0
RNT 11-2475,State of Washington US President & Vice President,11,0,9,Total,Democratic Party Nominees,Joseph R. Biden and Kamala D. Harris,427
RNT 11-2475,State of Washington US President & Vice President,11,0,9,Total,,Write-in,1
RNT 11-2475,State of Washington US President & Vice President,11,0,9,Total,Libertarian Party Nominees,"Jo Jorgensen and Jeremy ""Spike"" Cohen",4
RNT 11-2475,State of Washington US President & Vice President,11,0,9,Total,Green Party Nominees,Howie Hawkins and Angela Walker,0
BOT 01-0255,State of Washington US President & Vice President,1,0,1,Total,Socialist Workers Party Nominees,Alyson Kennedy and Malcolm M. Jarrett,0
BOT 01-0255,State of Washington US President & Vice President,1,0,1,Total,Republican Party Nominees,Donald J. Trump and Michael R. Pence,135
BOT 01-0255,State of Washington US President & Vice President,1,0,1,Total,Socialism and Liberation Party Nominees,Gloria La Riva and Sunil Freeman,0
BOT 01-0255,State of Washington US President & Vice President,1,0,1,Total,Democratic Party Nominees,Joseph R. Biden and Kamala D. Harris,302
BOT 01-0255,State of Washington US President & Vice President,1,0,1,Total,,Write-in,3
BOT 01-0255,State of Washington US President & Vice President,1,0,1,Total,Libertarian Party Nominees,"Jo Jorgensen and Jeremy ""Spike"" Cohen",5
BOT 01-0255,State of Washington US President & Vice President,1,0,1,Total,Green Party Nominees,Howie Hawkins and Angela Walker,0
KEN 47-2477,State of Washington US President & Vice President,47,0,8,Total,Socialist Workers Party Nominees,Alyson Kennedy and Malcolm M. Jarrett,0
KEN 47-2477,State of Washington US President & Vice President,47,0,8,Total,Republican Party Nominees,Donald J. Trump and Michael R. Pence,209
KEN 47-2477,State of Washington US President & Vice President,47,0,8,Total,Socialism and Liberation Party Nominees,Gloria La Riva and Sunil Freeman,0
KEN 47-2477,State of Washington US President & Vice President,47,0,8,Total,Democratic Party Nominees,Joseph R. Biden and Kamala D. Harris,221
KEN 47-2477,State of Washington US President & Vice President,47,0,8,Total,,Write-in,2
KEN 47-2477,State of Washington US President & Vice President,47,0,8,Total,Libertarian Party Nominees,"Jo Jorgensen and Jeremy ""Spike"" Cohen",5
KEN 47-2477,State of Washington US President & Vice President,47,0,8,Total,Green Party Nominees,Howie Hawkins and Angela Walker,1
AUB 47-2478,State of Washington US President & Vice President,47,0,8,Total,Socialist Workers Party Nominees,Alyson Kennedy and Malcolm M. Jarrett,0
AUB 47-2478,State of Washington US President & Vice President,47,0,8,Total,Republican Party Nominees,Donald J. Trump and Michael R. Pence,156
AUB 47-2478,State of Washington US President & Vice President,47,0,8,Total,Socialism and Liberation Party Nominees,Gloria La Riva and Sunil Freeman,0
AUB 47-2478,State of Washington US President & Vice President,47,0,8,Total,Democratic Party Nominees,Joseph R. Biden and Kamala D. Harris,252
AUB 47-2478,State of Washington US President & Vice President,47,0,8,Total,,Write-in,2
AUB 47-2478,State of Washington US President & Vice President,47,0,8,Total,Libertarian Party Nominees,"Jo Jorgensen and Jeremy ""Spike"" Cohen",2
AUB 47-2478,State of Washington US President & Vice President,47,0,8,Total,Green Party Nominees,Howie Hawkins and Angela Walker,0
CHURCHILL,State of Washington US President & Vice President,45,0,1,Total,Socialist Workers Party Nominees,Alyson Kennedy and Malcolm M. Jarrett,0
CHURCHILL,State of Washington US President & Vice President,45,0,1,Total,Republican Party Nominees,Donald J. Trump and Michael R. Pence,86
CHURCHILL,State of Washington US President & Vice President,45,0,1,Total,Socialism and Liberation Party Nominees,Gloria La Riva and Sunil Freeman,0
CHURCHILL,State of Washington US President & Vice President,45,0,1,Total,Democratic Party Nominees,Joseph R. Biden and Kamala D. Harris,240
CHURCHILL,State of Washington US President & Vice President,45,0,1,Total,,Write-in,2
CHURCHILL,State of Washington US President & Vice President,45,0,1,Total,Libertarian Party Nominees,"Jo Jorgensen and Jeremy ""Spike"" Cohen",11
CHURCHILL,State of Washington US President & Vice President,45,0,1,Total,Green Party Nominees,Howie Hawkins and Angela Walker,1
BEL 41-2484,State of Washington US President & Vice President,41,0,9,Total,Socialist Workers Party Nominees,Alyson Kennedy and Malcolm M. Jarrett,0
BEL 41-2484,State of Washington US President & Vice President,41,0,9,Total,Republican Party Nominees,Donald J. Trump and Michael R. Pence,79
BEL 41-2484,State of Washington US President & Vice President,41,0,9,Total,Socialism and Liberation Party Nominees,Gloria La Riva and Sunil Freeman,0
BEL 41-2484,State of Washington US President & Vice President,41,0,9,Total,Democratic Party Nominees,Joseph R. Biden and Kamala D. Harris,237
BEL 41-2484,State of Washington US President & Vice President,41,0,9,Total,,Write-in,3
BEL 41-2484,State of Washington US President & Vice President,41,0,9,Total,Libertarian Party Nominees,"Jo Jorgensen and Jeremy ""Spike"" Cohen",4
BEL 41-2484,State of Washington US President & Vice President,41,0,9,Total,Green Party Nominees,Howie Hawkins and Angela Walker,1
KEN 47-2485,State of Washington US President & Vice President,47,0,9,Total,Socialist Workers Party Nominees,Alyson Kennedy and Malcolm M. Jarrett,0
KEN 47-2485,State of Washington US President & Vice President,47,0,9,Total,Republican Party Nominees,Donald J. Trump and Michael R. Pence,133
KEN 47-2485,State of Washington US President & Vice President,47,0,9,Total,Socialism and Liberation Party Nominees,Gloria La Riva and Sunil Freeman,0
KEN 47-2485,State of Washington US President & Vice President,47,0,9,Total,Democratic Party Nominees,Joseph R. Biden and Kamala D. Harris,319
KEN 47-2485,State of Washington US President & Vice President,47,0,9,Total,,Write-in,3
KEN 47-2485,State of Washington US President & Vice President,47,0,9,Total,Libertarian Party Nominees,"Jo Jorgensen and Jeremy ""Spike"" Cohen",4
KEN 47-2485,State of Washington US President & Vice President,47,0,9,Total,Green Party Nominees,Howie Hawkins and Angela Walker,0
GRIFFITH,State of Washington US President & Vice President,11,0,8,Total,Socialist Workers Party Nominees,Alyson Kennedy and Malcolm M. Jarrett,0
GRIFFITH,State of Washington US President & Vice President,11,0,8,Total,Republican Party Nominees,Donald J. Trump and Michael R. Pence,113
GRIFFITH,State of Washington US President & Vice President,11,0,8,Total,Socialism and Liberation Party Nominees,Gloria La Riva and Sunil Freeman,0
GRIFFITH,State of Washington US President & Vice President,11,0,8,Total,Democratic Party Nominees,Joseph R. Biden and Kamala D. Harris,340
GRIFFITH,State of Washington US President & Vice President,11,0,8,Total,,Write-in,1
GRIFFITH,State of Washington US President & Vice President,11,0,8,Total,Libertarian Party Nominees,"Jo Jorgensen and Jeremy ""Spike"" Cohen",8
GRIFFITH,State of Washington US President & Vice President,11,0,8,Total,Green Party Nominees,Howie Hawkins and Angela Walker,0
LAKE LEOTA,State of Washington US President & Vice President,45,0,1,Total,Socialist Workers Party Nominees,Alyson Kennedy and Malcolm M. Jarrett,0
LAKE LEOTA,State of Washington US President & Vice President,45,0,1,Total,Republican Party Nominees,Donald J. Trump and Michael R. Pence,105
LAKE LEOTA,State of Washington US President & Vice President,45,0,1,Total,Socialism and Liberation Party Nominees,Gloria La Riva and Sunil Freeman,0
LAKE LEOTA,State of Washington US President & Vice President,45,0,1,Total,Democratic Party Nominees,Joseph R. Biden and Kamala D. Harris,317
LAKE LEOTA,State of Washington US President & Vice President,45,0,1,Total,,Write-in,7
LAKE LEOTA,State of Washington US President & Vice President,45,0,1,Total,Libertarian Party Nominees,"Jo Jorgensen and Jeremy ""Spike"" Cohen",8
LAKE LEOTA,State of Washington US President & Vice President,45,0,1,Total,Green Party Nominees,Howie Hawkins and Angela Walker,0
KIR 01-2488,State of Washington US President & Vice President,1,0,1,Total,Socialist Workers Party Nominees,Alyson Kennedy and Malcolm M. Jarrett,0
KIR 01-2488,State of Washington US President & Vice President,1,0,1,Total,Republican Party Nominees,Donald J. Trump and Michael R. Pence,152
KIR 01-2488,State of Washington US President & Vice President,1,0,1,Total,Socialism and Liberation Party Nominees,Gloria La Riva and Sunil Freeman,0
KIR 01-2488,State of Washington US President & Vice President,1,0,1,Total,Democratic Party Nominees,Joseph R. Biden and Kamala D. Harris,480
KIR 01-2488,State of Washington US President & Vice President,1,0,1,Total,,Write-in,4
KIR 01-2488,State of Washington US President & Vice President,1,0,1,Total,Libertarian Party Nominees,"Jo Jorgensen and Jeremy ""Spike"" Cohen",9
KIR 01-2488,State of Washington US President & Vice President,1,0,1,Total,Green Party Nominees,Howie Hawkins and Angela Walker,0
KIR 45-2489,State of Washington US President & Vice President,45,0,1,Total,Socialist Workers Party Nominees,Alyson Kennedy and Malcolm M. Jarrett,0
KIR 45-2489,State of Washington US President & Vice President,45,0,1,Total,Republican Party Nominees,Donald J. Trump and Michael R. Pence,95
KIR 45-2489,State of Washington US President & Vice President,45,0,1,Total,Socialism and Liberation Party Nominees,Gloria La Riva and Sunil Freeman,1
KIR 45-2489,State of Washington US President & Vice President,45,0,1,Total,Democratic Party Nominees,Joseph R. Biden and Kamala D. Harris,385
KIR 45-2489,State of Washington US President & Vice President,45,0,1,Total,,Write-in,6
KIR 45-2489,State of Washington US President & Vice President,45,0,1,Total,Libertarian Party Nominees,"Jo Jorgensen and Jeremy ""Spike"" Cohen",3
KIR 45-2489,State of Washington US President & Vice President,45,0,1,Total,Green Party Nominees,Howie Hawkins and Angela Walker,0
KEN 47-2490,State of Washington US President & Vice President,47,0,9,Total,Socialist Workers Party Nominees,Alyson Kennedy and Malcolm M. Jarrett,0
KEN 47-2490,State of Washington US President & Vice President,47,0,9,Total,Republican Party Nominees,Donald J. Trump and Michael R. Pence,158
KEN 47-2490,State of Washington US President & Vice President,47,0,9,Total,Socialism and Liberation Party Nominees,Gloria La Riva and Sunil Freeman,0
KEN 47-2490,State of Washington US President & Vice President,47,0,9,Total,Democratic Party Nominees,Joseph R. Biden and Kamala D. Harris,355
KEN 47-2490,State of Washington US President & Vice President,47,0,9,Total,,Write-in,0
KEN 47-2490,State of Washington US President & Vice President,47,0,9,Total,Libertarian Party Nominees,"Jo Jorgensen and Jeremy ""Spike"" Cohen",8
KEN 47-2490,State of Washington US President & Vice President,47,0,9,Total,Green Party Nominees,Howie Hawkins and Angela Walker,1
BOT 01-0256,State of Washington US President & Vice President,1,0,1,Total,Socialist Workers Party Nominees,Alyson Kennedy and Malcolm M. Jarrett,1
BOT 01-0256,State of Washington US President & Vice President,1,0,1,Total,Republican Party Nominees,Donald J. Trump and Michael R. Pence,152
BOT 01-0256,State of Washington US President & Vice President,1,0,1,Total,Socialism and Liberation Party Nominees,Gloria La Riva and Sunil Freeman,0
BOT 01-0256,State of Washington US President & Vice President,1,0,1,Total,Democratic Party Nominees,Joseph R. Biden and Kamala D. Harris,373
BOT 01-0256,State of Washington US President & Vice President,1,0,1,Total,,Write-in,8
BOT 01-0256,State of Washington US President & Vice President,1,0,1,Total,Libertarian Party Nominees,"Jo Jorgensen and Jeremy ""Spike"" Cohen",8
BOT 01-0256,State of Washington US President & Vice President,1,0,1,Total,Green Party Nominees,Howie Hawkins and Angela Walker,1
SAM 41-2491,State of Washington US President & Vice President,41,0,8,Total,Socialist Workers Party Nominees,Alyson Kennedy and Malcolm M. Jarrett,0
SAM 41-2491,State of Washington US President & Vice President,41,0,8,Total,Republican Party Nominees,Donald J. Trump and Michael R. Pence,180
SAM 41-2491,State of Washington US President & Vice President,41,0,8,Total,Socialism and Liberation Party Nominees,Gloria La Riva and Sunil Freeman,0
SAM 41-2491,State of Washington US President & Vice President,41,0,8,Total,Democratic Party Nominees,Joseph R. Biden and Kamala D. Harris,411
SAM 41-2491,State of Washington US President & Vice President,41,0,8,Total,,Write-in,4
SAM 41-2491,State of Washington US President & Vice President,41,0,8,Total,Libertarian Party Nominees,"Jo Jorgensen and Jeremy ""Spike"" Cohen",11
SAM 41-2491,State of Washington US President & Vice President,41,0,8,Total,Green Party Nominees,Howie Hawkins and Angela Walker,3
RED 45-2492,State of Washington US President & Vice President,45,0,1,Total,Socialist Workers Party Nominees,Alyson Kennedy and Malcolm M. Jarrett,0
RED 45-2492,State of Washington US President & Vice President,45,0,1,Total,Republican Party Nominees,Donald J. Trump and Michael R. Pence,87
RED 45-2492,State of Washington US President & Vice President,45,0,1,Total,Socialism and Liberation Party Nominees,Gloria La Riva and Sunil Freeman,0
RED 45-2492,State of Washington US President & Vice President,45,0,1,Total,Democratic Party Nominees,Joseph R. Biden and Kamala D. Harris,195
RED 45-2492,State of Washington US President & Vice President,45,0,1,Total,,Write-in,3
RED 45-2492,State of Washington US President & Vice President,45,0,1,Total,Libertarian Party Nominees,"Jo Jorgensen and Jeremy ""Spike"" Cohen",3
RED 45-2492,State of Washington US President & Vice President,45,0,1,Total,Green Party Nominees,Howie Hawkins and Angela Walker,2
REINTREE,State of Washington US President & Vice President,45,0,1,Total,Socialist Workers Party Nominees,Alyson Kennedy and Malcolm M. Jarrett,0
REINTREE,State of Washington US President & Vice President,45,0,1,Total,Republican Party Nominees,Donald J. Trump and Michael R. Pence,110
REINTREE,State of Washington US President & Vice President,45,0,1,Total,Socialism and Liberation Party Nominees,Gloria La Riva and Sunil Freeman,0
REINTREE,State of Washington US President & Vice President,45,0,1,Total,Democratic Party Nominees,Joseph R. Biden and Kamala D. Harris,336
REINTREE,State of Washington US President & Vice President,45,0,1,Total,,Write-in,4
REINTREE,State of Washington US President & Vice President,45,0,1,Total,Libertarian Party Nominees,"Jo Jorgensen and Jeremy ""Spike"" Cohen",14
REINTREE,State of Washington US President & Vice President,45,0,1,Total,Green Party Nominees,Howie Hawkins and Angela Walker,3
BOT 01-2495,State of Washington US President & Vice President,1,0,1,Total,Socialist Workers Party Nominees,Alyson Kennedy and Malcolm M. Jarrett,1
BOT 01-2495,State of Washington US President & Vice President,1,0,1,Total,Republican Party Nominees,Donald J. Trump and Michael R. Pence,141
BOT 01-2495,State of Washington US President & Vice President,1,0,1,Total,Socialism and Liberation Party Nominees,Gloria La Riva and Sunil Freeman,1
BOT 01-2495,State of Washington US President & Vice President,1,0,1,Total,Democratic Party Nominees,Joseph R. Biden and Kamala D. Harris,349
BOT 01-2495,State of Washington US President & Vice President,1,0,1,Total,,Write-in,3
BOT 01-2495,State of Washington US President & Vice President,1,0,1,Total,Libertarian Party Nominees,"Jo Jorgensen and Jeremy ""Spike"" Cohen",7
BOT 01-2495,State of Washington US President & Vice President,1,0,1,Total,Green Party Nominees,Howie Hawkins and Angela Walker,1
SEA 46-2500,State of Washington US President & Vice President,46,0,7,Total,Socialist Workers Party Nominees,Alyson Kennedy and Malcolm M. Jarrett,0
SEA 46-2500,State of Washington US President & Vice President,46,0,7,Total,Republican Party Nominees,Donald J. Trump and Michael R. Pence,25
SEA 46-2500,State of Washington US President & Vice President,46,0,7,Total,Socialism and Liberation Party Nominees,Gloria La Riva and Sunil Freeman,0
SEA 46-2500,State of Washington US President & Vice President,46,0,7,Total,Democratic Party Nominees,Joseph R. Biden and Kamala D. Harris,309
SEA 46-2500,State of Washington US President & Vice President,46,0,7,Total,,Write-in,3
SEA 46-2500,State of Washington US President & Vice President,46,0,7,Total,Libertarian Party Nominees,"Jo Jorgensen and Jeremy ""Spike"" Cohen",1
SEA 46-2500,State of Washington US President & Vice President,46,0,7,Total,Green Party Nominees,Howie Hawkins and Angela Walker,2
SEA 34-2501,State of Washington US President & Vice President,34,0,7,Total,Socialist Workers Party Nominees,Alyson Kennedy and Malcolm M. Jarrett,0
SEA 34-2501,State of Washington US President & Vice President,34,0,7,Total,Republican Party Nominees,Donald J. Trump and Michael R. Pence,44
SEA 34-2501,State of Washington US President & Vice President,34,0,7,Total,Socialism and Liberation Party Nominees,Gloria La Riva and Sunil Freeman,0
SEA 34-2501,State of Washington US President & Vice President,34,0,7,Total,Democratic Party Nominees,Joseph R. Biden and Kamala D. Harris,276
SEA 34-2501,State of Washington US President & Vice President,34,0,7,Total,,Write-in,1
SEA 34-2501,State of Washington US President & Vice President,34,0,7,Total,Libertarian Party Nominees,"Jo Jorgensen and Jeremy ""Spike"" Cohen",2
SEA 34-2501,State of Washington US President & Vice President,34,0,7,Total,Green Party Nominees,Howie Hawkins and Angela Walker,0
SEA 36-2502,State of Washington US President & Vice President,36,0,7,Total,Socialist Workers Party Nominees,Alyson Kennedy and Malcolm M. Jarrett,2
SEA 36-2502,State of Washington US President & Vice President,36,0,7,Total,Republican Party Nominees,Donald J. Trump and Michael R. Pence,19
SEA 36-2502,State of Washington US President & Vice President,36,0,7,Total,Socialism and Liberation Party Nominees,Gloria La Riva and Sunil Freeman,0
SEA 36-2502,State of Washington US President & Vice President,36,0,7,Total,Democratic Party Nominees,Joseph R. Biden and Kamala D. Harris,286
SEA 36-2502,State of Washington US President & Vice President,36,0,7,Total,,Write-in,1
SEA 36-2502,State of Washington US President & Vice President,36,0,7,Total,Libertarian Party Nominees,"Jo Jorgensen and Jeremy ""Spike"" Cohen",0
SEA 36-2502,State of Washington US President & Vice President,36,0,7,Total,Green Party Nominees,Howie Hawkins and Angela Walker,1
SEA 36-2503,State of Washington US President & Vice President,36,0,7,Total,Socialist Workers Party Nominees,Alyson Kennedy and Malcolm M. Jarrett,0
SEA 36-2503,State of Washington US President & Vice President,36,0,7,Total,Republican Party Nominees,Donald J. Trump and Michael R. Pence,18
SEA 36-2503,State of Washington US President & Vice President,36,0,7,Total,Socialism and Liberation Party Nominees,Gloria La Riva and Sunil Freeman,0
SEA 36-2503,State of Washington US President & Vice President,36,0,7,Total,Democratic Party Nominees,Joseph R. Biden and Kamala D. Harris,248
SEA 36-2503,State of Washington US President & Vice President,36,0,7,Total,,Write-in,0
SEA 36-2503,State of Washington US President & Vice President,36,0,7,Total,Libertarian Party Nominees,"Jo Jorgensen and Jeremy ""Spike"" Cohen",1
SEA 36-2503,State of Washington US President & Vice President,36,0,7,Total,Green Party Nominees,Howie Hawkins and Angela Walker,0
SEA 36-2504,State of Washington US President & Vice President,36,0,7,Total,Socialist Workers Party Nominees,Alyson Kennedy and Malcolm M. Jarrett,0
SEA 36-2504,State of Washington US President & Vice President,36,0,7,Total,Republican Party Nominees,Donald J. Trump and Michael R. Pence,21
SEA 36-2504,State of Washington US President & Vice President,36,0,7,Total,Socialism and Liberation Party Nominees,Gloria La Riva and Sunil Freeman,0
SEA 36-2504,State of Washington US President & Vice President,36,0,7,Total,Democratic Party Nominees,Joseph R. Biden and Kamala D. Harris,256
SEA 36-2504,State of Washington US President & Vice President,36,0,7,Total,,Write-in,0
SEA 36-2504,State of Washington US President & Vice President,36,0,7,Total,Libertarian Party Nominees,"Jo Jorgensen and Jeremy ""Spike"" Cohen",4
SEA 36-2504,State of Washington US President & Vice President,36,0,7,Total,Green Party Nominees,Howie Hawkins and Angela Walker,2
SEA 36-2505,State of Washington US President & Vice President,36,0,7,Total,Socialist Workers Party Nominees,Alyson Kennedy and Malcolm M. Jarrett,0
SEA 36-2505,State of Washington US President & Vice President,36,0,7,Total,Republican Party Nominees,Donald J. Trump and Michael R. Pence,31
SEA 36-2505,State of Washington US President & Vice President,36,0,7,Total,Socialism and Liberation Party Nominees,Gloria La Riva and Sunil Freeman,0
SEA 36-2505,State of Washington US President & Vice President,36,0,7,Total,Democratic Party Nominees,Joseph R. Biden and Kamala D. Harris,249
SEA 36-2505,State of Washington US President & Vice President,36,0,7,Total,,Write-in,8
SEA 36-2505,State of Washington US President & Vice President,36,0,7,Total,Libertarian Party Nominees,"Jo Jorgensen and Jeremy ""Spike"" Cohen",2
SEA 36-2505,State of Washington US President & Vice President,36,0,7,Total,Green Party Nominees,Howie Hawkins and Angela Walker,0
BOT 01-0257,State of Washington US President & Vice President,1,0,1,Total,Socialist Workers Party Nominees,Alyson Kennedy and Malcolm M. Jarrett,1
BOT 01-0257,State of Washington US President & Vice President,1,0,1,Total,Republican Party Nominees,Donald J. Trump and Michael R. Pence,140
BOT 01-0257,State of Washington US President & Vice President,1,0,1,Total,Socialism and Liberation Party Nominees,Gloria La Riva and Sunil Freeman,0
BOT 01-0257,State of Washington US President & Vice President,1,0,1,Total,Democratic Party Nominees,Joseph R. Biden and Kamala D. Harris,402
BOT 01-0257,State of Washington US President & Vice President,1,0,1,Total,,Write-in,3
BOT 01-0257,State of Washington US President & Vice President,1,0,1,Total,Libertarian Party Nominees,"Jo Jorgensen and Jeremy ""Spike"" Cohen",6
BOT 01-0257,State of Washington US President & Vice President,1,0,1,Total,Green Party Nominees,Howie Hawkins and Angela Walker,1
SEA 36-2506,State of Washington US President & Vice President,36,0,7,Total,Socialist Workers Party Nominees,Alyson Kennedy and Malcolm M. Jarrett,1
SEA 36-2506,State of Washington US President & Vice President,36,0,7,Total,Republican Party Nominees,Donald J. Trump and Michael R. Pence,13
SEA 36-2506,State of Washington US President & Vice President,36,0,7,Total,Socialism and Liberation Party Nominees,Gloria La Riva and Sunil Freeman,0
SEA 36-2506,State of Washington US President & Vice President,36,0,7,Total,Democratic Party Nominees,Joseph R. Biden and Kamala D. Harris,263
SEA 36-2506,State of Washington US President & Vice President,36,0,7,Total,,Write-in,3
SEA 36-2506,State of Washington US President & Vice President,36,0,7,Total,Libertarian Party Nominees,"Jo Jorgensen and Jeremy ""Spike"" Cohen",2
SEA 36-2506,State of Washington US President & Vice President,36,0,7,Total,Green Party Nominees,Howie Hawkins and Angela Walker,1
SEA 36-2507,State of Washington US President & Vice President,36,0,7,Total,Socialist Workers Party Nominees,Alyson Kennedy and Malcolm M. Jarrett,0
SEA 36-2507,State of Washington US President & Vice President,36,0,7,Total,Republican Party Nominees,Donald J. Trump and Michael R. Pence,34
SEA 36-2507,State of Washington US President & Vice President,36,0,7,Total,Socialism and Liberation Party Nominees,Gloria La Riva and Sunil Freeman,0
SEA 36-2507,State of Washington US President & Vice President,36,0,7,Total,Democratic Party Nominees,Joseph R. Biden and Kamala D. Harris,212
SEA 36-2507,State of Washington US President & Vice President,36,0,7,Total,,Write-in,2
SEA 36-2507,State of Washington US President & Vice President,36,0,7,Total,Libertarian Party Nominees,"Jo Jorgensen and Jeremy ""Spike"" Cohen",1
SEA 36-2507,State of Washington US President & Vice President,36,0,7,Total,Green Party Nominees,Howie Hawkins and Angela Walker,0
SEA 36-2508,State of Washington US President & Vice President,36,0,7,Total,Socialist Workers Party Nominees,Alyson Kennedy and Malcolm M. Jarrett,0
SEA 36-2508,State of Washington US President & Vice President,36,0,7,Total,Republican Party Nominees,Donald J. Trump and Michael R. Pence,42
SEA 36-2508,State of Washington US President & Vice President,36,0,7,Total,Socialism and Liberation Party Nominees,Gloria La Riva and Sunil Freeman,0
SEA 36-2508,State of Washington US President & Vice President,36,0,7,Total,Democratic Party Nominees,Joseph R. Biden and Kamala D. Harris,336
SEA 36-2508,State of Washington US President & Vice President,36,0,7,Total,,Write-in,2
SEA 36-2508,State of Washington US President & Vice President,36,0,7,Total,Libertarian Party Nominees,"Jo Jorgensen and Jeremy ""Spike"" Cohen",2
SEA 36-2508,State of Washington US President & Vice President,36,0,7,Total,Green Party Nominees,Howie Hawkins and Angela Walker,0
SEA 36-2509,State of Washington US President & Vice President,36,0,7,Total,Socialist Workers Party Nominees,Alyson Kennedy and Malcolm M. Jarrett,0
SEA 36-2509,State of Washington US President & Vice President,36,0,7,Total,Republican Party Nominees,Donald J. Trump and Michael R. Pence,21
SEA 36-2509,State of Washington US President & Vice President,36,0,7,Total,Socialism and Liberation Party Nominees,Gloria La Riva and Sunil Freeman,0
