Precinct,Race,LEG,CC,CG,CounterGroup,Party,CounterType,SumOfCount
SEA 34-1518,State of Washington US President & Vice President,34,0,7,Total,Socialism and Liberation Party Nominees,Gloria La Riva and Sunil Freeman,0
SEA 34-1518,State of Washington US President & Vice President,34,0,7,Total,Democratic Party Nominees,Joseph R. Biden and Kamala D. Harris,215
SEA 34-1518,State of Washington US President & Vice President,34,0,7,Total,,Write-in,1
SEA 34-1518,State of Washington US President & Vice President,34,0,7,Total,Libertarian Party Nominees,"Jo Jorgensen and Jeremy ""Spike"" Cohen",4
SEA 34-1518,State of Washington US President & Vice President,34,0,7,Total,Green Party Nominees,Howie Hawkins and Angela Walker,0
SEA 34-1519,State of Washington US President & Vice President,34,0,7,Total,Socialist Workers Party Nominees,Alyson Kennedy and Malcolm M. Jarrett,0
SEA 34-1519,State of Washington US President & Vice President,34,0,7,Total,Republican Party Nominees,Donald J. Trump and Michael R. Pence,35
SEA 34-1519,State of Washington US President & Vice President,34,0,7,Total,Socialism and Liberation Party Nominees,Gloria La Riva and Sunil Freeman,0
SEA 34-1519,State of Washington US President & Vice President,34,0,7,Total,Democratic Party Nominees,Joseph R. Biden and Kamala D. Harris,220
SEA 34-1519,State of Washington US President & Vice President,34,0,7,Total,,Write-in,0
SEA 34-1519,State of Washington US President & Vice President,34,0,7,Total,Libertarian Party Nominees,"Jo Jorgensen and Jeremy ""Spike"" Cohen",2
SEA 34-1519,State of Washington US President & Vice President,34,0,7,Total,Green Party Nominees,Howie Hawkins and Angela Walker,1
SEA 34-1520,State of Washington US President & Vice President,34,0,7,Total,Socialist Workers Party Nominees,Alyson Kennedy and Malcolm M. Jarrett,0
SEA 34-1520,State of Washington US President & Vice President,34,0,7,Total,Republican Party Nominees,Donald J. Trump and Michael R. Pence,27
SEA 34-1520,State of Washington US President & Vice President,34,0,7,Total,Socialism and Liberation Party Nominees,Gloria La Riva and Sunil Freeman,0
SEA 34-1520,State of Washington US President & Vice President,34,0,7,Total,Democratic Party Nominees,Joseph R. Biden and Kamala D. Harris,264
SEA 34-1520,State of Washington US President & Vice President,34,0,7,Total,,Write-in,1
SEA 34-1520,State of Washington US President & Vice President,34,0,7,Total,Libertarian Party Nominees,"Jo Jorgensen and Jeremy ""Spike"" Cohen",4
SEA 34-1520,State of Washington US President & Vice President,34,0,7,Total,Green Party Nominees,Howie Hawkins and Angela Walker,0
SEA 34-1521,State of Washington US President & Vice President,34,0,7,Total,Socialist Workers Party Nominees,Alyson Kennedy and Malcolm M. Jarrett,1
SEA 34-1521,State of Washington US President & Vice President,34,0,7,Total,Republican Party Nominees,Donald J. Trump and Michael R. Pence,32
SEA 34-1521,State of Washington US President & Vice President,34,0,7,Total,Socialism and Liberation Party Nominees,Gloria La Riva and Sunil Freeman,0
SEA 34-1521,State of Washington US President & Vice President,34,0,7,Total,Democratic Party Nominees,Joseph R. Biden and Kamala D. Harris,215
SEA 34-1521,State of Washington US President & Vice President,34,0,7,Total,,Write-in,0
SEA 34-1521,State of Washington US President & Vice President,34,0,7,Total,Libertarian Party Nominees,"Jo Jorgensen and Jeremy ""Spike"" Cohen",4
SEA 34-1521,State of Washington US President & Vice President,34,0,7,Total,Green Party Nominees,Howie Hawkins and Angela Walker,0
SEA 34-1522,State of Washington US President & Vice President,34,0,7,Total,Socialist Workers Party Nominees,Alyson Kennedy and Malcolm M. Jarrett,0
SEA 34-1522,State of Washington US President & Vice President,34,0,7,Total,Republican Party Nominees,Donald J. Trump and Michael R. Pence,35
SEA 34-1522,State of Washington US President & Vice President,34,0,7,Total,Socialism and Liberation Party Nominees,Gloria La Riva and Sunil Freeman,0
SEA 34-1522,State of Washington US President & Vice President,34,0,7,Total,Democratic Party Nominees,Joseph R. Biden and Kamala D. Harris,199
SEA 34-1522,State of Washington US President & Vice President,34,0,7,Total,,Write-in,1
SEA 34-1522,State of Washington US President & Vice President,34,0,7,Total,Libertarian Party Nominees,"Jo Jorgensen and Jeremy ""Spike"" Cohen",0
SEA 34-1522,State of Washington US President & Vice President,34,0,7,Total,Green Party Nominees,Howie Hawkins and Angela Walker,2
SEA 34-1523,State of Washington US President & Vice President,34,0,7,Total,Socialist Workers Party Nominees,Alyson Kennedy and Malcolm M. Jarrett,0
SEA 34-1523,State of Washington US President & Vice President,34,0,7,Total,Republican Party Nominees,Donald J. Trump and Michael R. Pence,37
SEA 34-1523,State of Washington US President & Vice President,34,0,7,Total,Socialism and Liberation Party Nominees,Gloria La Riva and Sunil Freeman,0
SEA 34-1523,State of Washington US President & Vice President,34,0,7,Total,Democratic Party Nominees,Joseph R. Biden and Kamala D. Harris,231
SEA 34-1523,State of Washington US President & Vice President,34,0,7,Total,,Write-in,2
SEA 34-1523,State of Washington US President & Vice President,34,0,7,Total,Libertarian Party Nominees,"Jo Jorgensen and Jeremy ""Spike"" Cohen",0
SEA 34-1523,State of Washington US President & Vice President,34,0,7,Total,Green Party Nominees,Howie Hawkins and Angela Walker,0
SEA 34-1524,State of Washington US President & Vice President,34,0,7,Total,Socialist Workers Party Nominees,Alyson Kennedy and Malcolm M. Jarrett,0
SEA 34-1524,State of Washington US President & Vice President,34,0,7,Total,Republican Party Nominees,Donald J. Trump and Michael R. Pence,26
SEA 34-1524,State of Washington US President & Vice President,34,0,7,Total,Socialism and Liberation Party Nominees,Gloria La Riva and Sunil Freeman,0
SEA 34-1524,State of Washington US President & Vice President,34,0,7,Total,Democratic Party Nominees,Joseph R. Biden and Kamala D. Harris,246
SEA 34-1524,State of Washington US President & Vice President,34,0,7,Total,,Write-in,2
SEA 34-1524,State of Washington US President & Vice President,34,0,7,Total,Libertarian Party Nominees,"Jo Jorgensen and Jeremy ""Spike"" Cohen",4
SEA 34-1524,State of Washington US President & Vice President,34,0,7,Total,Green Party Nominees,Howie Hawkins and Angela Walker,1
BEL 48-0154,State of Washington US President & Vice President,48,0,9,Total,Socialist Workers Party Nominees,Alyson Kennedy and Malcolm M. Jarrett,0
BEL 48-0154,State of Washington US President & Vice President,48,0,9,Total,Republican Party Nominees,Donald J. Trump and Michael R. Pence,47
BEL 48-0154,State of Washington US President & Vice President,48,0,9,Total,Socialism and Liberation Party Nominees,Gloria La Riva and Sunil Freeman,2
BEL 48-0154,State of Washington US President & Vice President,48,0,9,Total,Democratic Party Nominees,Joseph R. Biden and Kamala D. Harris,148
BEL 48-0154,State of Washington US President & Vice President,48,0,9,Total,,Write-in,3
BEL 48-0154,State of Washington US President & Vice President,48,0,9,Total,Libertarian Party Nominees,"Jo Jorgensen and Jeremy ""Spike"" Cohen",0
