Precinct,Registered Voters,Ballots Cast,Donald J. Trump & Michael R. Pence,Hillary R. Clinton & Timothy M. Kaine,Gary Johnson & Bill Weld,Jill Stein & Ajamu Baraka,Total Votes
Bloom 16,923,643,138,481,8,5,632
Bloom 17,823,517,37,467,6,4,514
Bloom 18,770,569,175,358,16,14,563
Bloom 19,805,622,96,481,22,10,609
Bloom 20,814,622,177,393,25,9,604
Bloom 21,396,208,4,196,3,2,205
Bloom 22,892,563,127,405,14,9,555
Bloom 23,"1,092",695,57,612,7,7,683
Bloom 24,"1,733","1,160",193,909,25,11,"1,138"
Bloom 25,941,547,77,450,7,7,541
Bloom 26,893,521,114,385,8,3,510
Bloom 27,"1,139",671,74,566,14,10,664
Bloom 28,852,595,198,369,16,3,586
Bloom 29,648,326,2,323,0,0,325
Bloom 30,"1,030",777,133,596,26,10,765
Bloom 31,887,633,242,361,21,4,628
Bloom 32,796,486,56,418,2,2,478
Bloom 33,694,544,56,470,7,7,540
Bloom 34,590,396,38,345,5,3,391
Bloom 35,700,356,44,303,3,3,353
Bloom 36,"1,073",801,57,722,11,5,795
Bloom 37,480,363,32,326,1,3,362
Bloom 38,"1,901","1,404",124,"1,243",14,12,"1,393"
Bloom 39,965,540,43,479,8,6,536
Bloom 40,523,406,62,319,15,4,400
Bloom 41,"1,015",745,65,652,11,10,738
Bloom 42,723,551,71,461,6,3,541
Bloom 43,771,572,38,526,2,2,568
Bloom 44,"1,088",769,252,484,18,4,758
Bloom 45,"1,202",893,107,750,20,8,885
Bloom 46,"1,074",557,61,473,5,6,545
Bloom 47,"1,047",797,239,496,33,12,780
Bloom 48,603,461,57,384,8,2,451
Bloom 49,800,613,22,574,2,5,603
Bloom 50,768,577,124,425,12,7,568
Bloom 51,560,340,20,314,1,3,338
Bloom 52,974,570,9,532,5,7,553
Bloom 53,587,387,98,281,5,1,385
Bloom 54,"1,039",657,182,441,15,7,645
Bloom 55,919,556,51,489,6,5,551
Bloom 56,861,552,198,331,12,6,547
Bloom 57,947,647,166,442,17,5,630
Bloom 58,629,457,57,384,5,2,448
Bloom 59,684,487,89,372,11,9,481
Bloom 60,764,527,22,492,2,6,522
Bloom 61,"1,000",627,214,381,12,11,618
Bremen 1,864,583,15,551,2,5,573
Bremen 2,998,687,318,306,40,13,677
Bremen 3,817,572,256,285,13,6,560
Bremen 4,944,611,256,317,22,9,604
Bremen 5,702,456,157,268,12,9,446
Bremen 6,753,467,147,280,22,8,457
Bremen 7,649,409,30,362,3,8,403
Bremen 8,714,502,23,463,4,5,495
Bremen 9,699,532,253,234,22,8,517
Bremen 10,"1,114",772,359,349,23,19,750
Bremen 11,981,694,304,343,26,10,683
Bremen 12,800,511,42,459,4,3,508
Bremen 13,"1,118",701,269,390,16,9,684
Bremen 14,813,515,141,337,6,9,493
Bremen 15,693,482,93,356,17,5,471
Bremen 16,803,631,361,238,22,3,624
Bremen 17,911,568,6,545,3,4,558
Bremen 18,"1,421",954,400,480,43,18,941
Bremen 19,399,218,3,211,0,0,214
Bremen 20,756,488,218,237,18,6,479
Bremen 21,"1,242",750,156,560,13,10,739
Bremen 22,747,526,250,230,26,7,513
Bremen 23,397,259,1,253,2,0,256
Bremen 24,726,523,280,202,27,7,516
Bremen 25,"1,260",835,370,405,31,13,819
Bremen 26,681,547,80,434,18,11,543
Bremen 27,"1,102",713,260,411,25,7,703
Bremen 28,769,483,196,248,22,10,476
Bremen 29,"1,177",847,36,794,3,2,835
Bremen 30,947,674,327,298,24,14,663
Bremen 31,"1,012",639,39,574,5,3,621
Bremen 32,765,556,26,513,4,7,550
Bremen 33,834,592,289,259,28,9,585
Bremen 34,"1,202",874,454,353,40,16,863
Bremen 35,664,421,12,397,0,6,415
Bremen 36,635,453,254,166,18,5,443
Bremen 37,902,443,46,351,5,8,410
Bremen 38,988,551,5,535,2,4,546
Bremen 39,726,452,25,413,6,3,447
Bremen 40,"1,241",903,80,793,11,7,891
Bremen 41,609,401,169,208,12,8,397
Bremen 42,"1,249",849,415,375,36,13,839
Bremen 43,815,517,107,397,8,3,515
Bremen 44,743,472,26,430,5,8,469
Bremen 45,711,382,15,344,5,7,371
Bremen 46,852,624,342,245,18,12,617
Bremen 47,715,500,18,467,3,5,493
Bremen 48,749,517,32,472,3,1,508
Bremen 49,690,516,12,485,6,4,507
Bremen 50,946,707,344,312,26,7,689
Bremen 51,"1,064",770,43,710,8,3,764
Bremen 52,862,548,225,279,20,12,536
Bremen 53,648,412,186,203,13,7,409
Bremen 54,786,516,233,237,27,6,503
Bremen 55,804,518,86,404,10,7,507
Bremen 56,955,684,29,625,7,4,665
Bremen 57,915,673,350,267,34,12,663
Bremen 58,"1,102",789,364,367,31,12,774
Bremen 59,833,586,249,301,20,8,578
Bremen 60,739,539,265,232,19,12,528
Bremen 61,930,622,285,286,28,14,613
Bremen 62,"1,030",682,272,374,16,6,668
Bremen 63,"1,158",809,43,744,6,7,800
Bremen 64,"1,037",723,346,337,24,10,717
Bremen 65,481,308,4,290,4,3,301
Bremen 66,600,453,8,435,3,2,448
Bremen 67,"1,180",870,437,379,35,6,857
Bremen 68,615,435,254,158,17,4,433
Bremen 69,847,621,223,363,14,12,612
Bremen 70,566,415,25,380,2,5,412
Bremen 71,645,445,26,411,3,1,441
Bremen 72,539,410,203,185,9,4,401
Bremen 73,957,665,260,363,23,7,653
Bremen 74,"1,153",735,276,422,21,4,723
Bremen 75,888,700,116,548,17,8,689
Bremen 76,724,510,237,235,27,3,502
Bremen 77,"1,397",990,447,476,32,16,971
Bremen 78,755,545,23,507,4,4,538
Bremen 79,932,673,333,294,19,11,657
Bremen 80,774,557,16,529,2,6,553
Calumet 1,"1,086",687,57,586,12,12,667
Calumet 2,981,639,96,502,8,25,631
Calumet 3,901,650,31,587,8,9,635
Calumet 4,"1,093",657,14,623,4,7,648
Calumet 5,739,517,18,486,5,4,513
Calumet 6,"1,335",874,71,770,8,13,862
Calumet 7,"1,090",724,97,586,12,9,704
Calumet 8,723,475,57,394,7,11,469
Calumet 9,751,499,14,472,2,4,492
Calumet 10,962,678,14,654,3,1,672
Calumet 11,"1,261",894,17,860,4,5,886
Calumet 12,677,476,9,452,4,5,470
Cicero 1,"1,474",856,68,742,9,20,839
Cicero 2,641,366,15,332,7,4,358
Cicero 3,918,527,54,430,12,9,505
Cicero 4,"1,112",643,53,560,11,7,631
Cicero 5,"1,049",746,147,542,8,20,717
Cicero 6,898,625,118,477,14,9,618
Cicero 7,828,478,32,419,7,8,466
Cicero 8,570,356,35,295,10,15,355
Cicero 9,"1,277",735,51,658,11,6,726
Cicero 10,"1,146",768,83,631,10,22,746
Cicero 11,934,664,130,492,18,15,655
Cicero 12,805,534,104,405,11,8,528
Cicero 13,766,542,144,371,10,13,538
Cicero 14,822,555,79,441,17,12,549
Cicero 15,"1,053",648,76,531,14,13,634
Cicero 16,772,500,56,422,6,12,496
Cicero 17,"1,310",770,71,672,8,12,763
Cicero 18,789,461,50,378,6,13,447
Cicero 19,"1,357",856,130,663,16,17,826
Cicero 20,697,478,69,394,2,4,469
Cicero 21,"1,076",657,85,538,14,12,649
Cicero 22,790,506,43,434,11,11,499
Cicero 23,"1,237",783,86,649,11,15,761
Cicero 24,"1,258",739,60,639,7,14,720
Cicero 25,864,562,69,468,8,10,555
Cicero 26,756,450,52,370,8,14,444
Cicero 27,"1,133",677,72,561,14,14,661
Cicero 28,"1,056",682,45,601,7,13,666
Cicero 29,"1,042",621,50,531,12,18,611
Cicero 30,921,555,33,480,15,13,541
Cicero 31,782,530,49,451,11,16,527
Cicero 32,838,528,55,441,9,16,521
Elk Grove 1,727,581,153,363,28,13,557
Elk Grove 2,865,576,181,354,21,10,566
Elk Grove 3,"1,081",792,322,431,25,5,783
Elk Grove 4,"1,001",720,238,428,28,13,707
Elk Grove 5,"1,211",953,339,539,40,7,925
Elk Grove 6,639,512,166,304,19,7,496
Elk Grove 7,922,754,238,451,45,6,740
Elk Grove 8,785,620,267,307,23,7,604
Elk Grove 9,896,671,305,323,22,2,652
Elk Grove 10,"1,213",969,346,527,59,10,942
Elk Grove 11,956,759,313,387,36,8,744
Elk Grove 12,588,455,239,176,26,4,445
Elk Grove 13,942,650,223,373,27,13,636
Elk Grove 14,"1,086",805,321,421,29,8,779
Elk Grove 15,828,582,244,282,32,10,568
Elk Grove 16,975,778,313,418,26,8,765
Elk Grove 17,967,655,228,383,21,11,643
Elk Grove 18,"1,257",902,379,468,32,6,885
Elk Grove 19,"1,121",853,341,430,42,6,819
Elk Grove 20,"1,002",749,311,371,34,11,727
Elk Grove 21,873,606,200,361,20,10,591
Elk Grove 22,"1,027",692,199,448,17,12,676
Elk Grove 23,"1,397","1,058",426,549,42,13,"1,030"
Elk Grove 24,916,636,244,354,22,5,625
Elk Grove 25,789,609,244,314,27,5,590
Elk Grove 26,796,568,231,300,18,12,561
Elk Grove 27,"1,161",861,398,398,29,15,840
Elk Grove 28,"1,015",682,209,418,19,16,662
Elk Grove 29,843,655,290,321,27,7,645
Elk Grove 30,887,651,280,320,29,9,638
Elk Grove 31,706,452,141,287,13,3,444
Elk Grove 32,841,536,178,323,12,13,526
Elk Grove 33,599,442,199,213,15,5,432
Elk Grove 34,"1,440","1,147",372,661,61,12,"1,106"
Elk Grove 35,914,643,263,341,16,14,634
Elk Grove 36,958,545,129,384,13,3,529
Elk Grove 37,"1,182",874,348,471,20,14,853
Elk Grove 38,851,497,99,363,12,13,487
Elk Grove 39,"1,451",946,293,576,24,25,918
Elk Grove 40,"1,000",677,221,407,29,10,667
Elk Grove 41,675,524,229,256,20,7,512
Elk Grove 42,988,640,173,418,26,13,630
Elk Grove 43,822,594,233,323,20,3,579
Elk Grove 44,840,612,268,302,16,6,592
Elk Grove 45,773,605,260,294,30,7,591
Elk Grove 46,670,524,253,231,21,5,510
Elk Grove 47,"1,037",832,349,417,40,10,816
Elk Grove 48,600,474,177,251,27,4,459
Elk Grove 49,"1,322",878,314,496,30,17,857
Elk Grove 50,641,425,129,264,10,10,413
Elk Grove 51,"1,213",940,438,428,34,15,915
Elk Grove 52,487,336,90,222,12,7,331
Evanston Ward 1 Precinct 1,"1,137",714,25,657,15,8,705
Evanston Ward 1 Precinct 2,983,807,76,691,16,7,790
Evanston Ward 1 Precinct 3,882,756,59,655,22,3,739
Evanston Ward 1 Precinct 4,"1,339","1,135",102,957,39,10,"1,108"
Evanston Ward 2 Precinct 1,"1,671","1,400",104,"1,211",44,16,"1,375"
Evanston Ward 2 Precinct 2,715,553,17,499,11,15,542
Evanston Ward 2 Precinct 3,"1,100",760,23,705,3,11,742
Evanston Ward 2 Precinct 4,"1,289",942,28,877,13,11,929
Evanston Ward 2 Precinct 5,835,640,30,577,10,15,632
Evanston Ward 3 Precinct 1,983,820,64,704,30,12,810
Evanston Ward 3 Precinct 2,"1,107",947,85,806,33,12,936
Evanston Ward 3 Precinct 3,949,841,66,732,15,17,830
Evanston Ward 3 Precinct 4,609,465,35,399,12,8,454
Evanston Ward 3 Precinct 5,978,834,67,698,33,15,813
Evanston Ward 3 Precinct 6,939,779,65,665,15,17,762
Evanston Ward 3 Precinct 7,754,665,47,575,21,11,654
Evanston Ward 4 Precinct 1,539,446,21,385,12,13,431
Evanston Ward 4 Precinct 2,812,700,40,611,16,20,687
Evanston Ward 4 Precinct 3,757,563,39,487,17,8,551
Evanston Ward 4 Precinct 4,"1,311","1,098",73,963,29,13,"1,078"
Evanston Ward 4 Precinct 5,634,437,36,379,13,5,433
Evanston Ward 4 Precinct 6,"1,266","1,041",86,880,29,25,"1,020"
Evanston Ward 5 Precinct 1,"1,040",713,17,660,11,12,700
Evanston Ward 5 Precinct 2,"1,302","1,067",69,930,32,21,"1,052"
Evanston Ward 5 Precinct 3,"1,050",751,19,695,12,17,743
Evanston Ward 5 Precinct 4,688,449,11,423,4,6,444
Evanston Ward 6 Precinct 1,"1,382","1,150",116,954,41,15,"1,126"
Evanston Ward 6 Precinct 2,670,594,54,503,26,5,588
Evanston Ward 6 Precinct 3,744,653,71,530,27,11,639
Evanston Ward 6 Precinct 4,939,795,57,692,23,12,784
Evanston Ward 6 Precinct 5,"1,184","1,026",91,867,27,18,"1,003"
Evanston Ward 6 Precinct 6,796,638,109,487,22,0,618
Evanston Ward 6 Precinct 7,"1,145",960,75,824,30,11,940
Evanston Ward 7 Precinct 1,"1,334","1,146",90,976,29,20,"1,115"
Evanston Ward 7 Precinct 2,"1,437","1,200",115,"1,002",37,21,"1,175"
Evanston Ward 7 Precinct 3,845,508,35,430,24,9,498
Evanston Ward 7 Precinct 4,648,544,31,489,11,5,536
Evanston Ward 7 Precinct 5,"1,211","1,045",82,888,40,11,"1,021"
Evanston Ward 7 Precinct 6,260,171,5,153,9,2,169
Evanston Ward 8 Precinct 1,"1,166",908,67,805,8,14,894
Evanston Ward 8 Precinct 2,955,722,50,634,12,17,713
Evanston Ward 8 Precinct 3,857,649,39,572,10,15,636
Evanston Ward 8 Precinct 4,874,762,57,665,11,15,748
Evanston Ward 8 Precinct 5,"1,258",986,63,868,16,24,971
Evanston Ward 9 Precinct 1,747,628,46,542,8,20,616
Evanston Ward 9 Precinct 2,860,663,29,600,14,11,654
Evanston Ward 9 Precinct 3,"1,185","1,034",72,899,32,17,"1,020"
Evanston Ward 9 Precinct 4,"1,052",845,52,727,17,29,825
Evanston Ward 9 Precinct 5,665,543,39,475,11,8,533
Evanston Ward 9 Precinct 6,882,736,59,635,8,18,720
Hanover 1,"1,418","1,046",339,649,30,12,"1,030"
Hanover 2,"1,131",831,319,473,23,6,821
Hanover 3,591,353,87,242,12,7,348
Hanover 4,"1,141",785,264,475,29,9,777
Hanover 5,"1,166",750,269,432,24,17,742
Hanover 6,"1,011",648,198,406,28,3,635
Hanover 7,"1,113",758,244,460,26,11,741
Hanover 8,928,656,254,348,23,17,642
Hanover 9,"1,049",722,275,390,30,6,701
Hanover 10,664,424,134,261,12,8,415
Hanover 11,"1,156",718,194,470,29,9,702
Hanover 12,930,556,112,399,19,12,542
Hanover 13,790,521,171,324,13,6,514
Hanover 14,"1,210",883,316,508,36,10,870
Hanover 15,"1,045",608,143,428,20,7,598
Hanover 16,"1,314",962,393,500,30,15,938
Hanover 17,885,567,218,311,21,8,558
Hanover 18,"1,082",711,202,463,20,10,695
Hanover 19,821,618,272,321,14,7,614
Hanover 20,"1,674","1,155",433,651,50,5,"1,139"
Hanover 21,676,486,195,258,17,4,474
Hanover 22,"1,011",693,242,397,32,10,681
Hanover 23,"1,074",742,284,402,27,17,730
Hanover 24,"1,237",733,158,521,22,14,715
Hanover 25,873,613,228,339,25,8,600
Hanover 26,"1,533","1,007",395,544,41,16,996
Hanover 27,"2,731","2,052",755,"1,183",58,22,"2,018"
Hanover 28,"1,370",974,357,565,29,6,957
Hanover 29,873,487,104,357,8,4,473
Hanover 30,"1,083",764,249,447,37,15,748
Hanover 31,799,580,271,272,23,3,569
Hanover 32,951,577,161,386,17,7,571
Hanover 33,"1,174",723,223,448,25,15,711
Hanover 34,"1,405",886,285,539,36,15,875
Hanover 35,"1,240",760,180,528,22,15,745
Hanover 36,815,544,178,320,21,14,533
Hanover 37,"1,401","1,006",350,557,55,22,984
Hanover 38,"1,147",817,290,462,42,9,803
Hanover 39,"1,299",845,273,514,23,16,826
Hanover 40,"1,122",825,298,454,36,20,808
Hanover 41,"1,389","1,030",344,605,39,12,"1,000"
Hanover 42,"1,051",744,302,382,29,13,726
Hanover 43,"1,204",794,283,459,27,9,778
Hanover 44,"1,294",931,392,455,42,20,909
Lemont 1,"1,136",795,475,255,34,8,772
Lemont 2,868,603,325,228,20,6,579
Lemont 3,"1,190",858,540,259,38,10,847
Lemont 4,"1,017",770,461,265,30,4,760
Lemont 5,"1,118",757,360,335,33,16,744
Lemont 6,"1,106",811,436,312,30,13,791
Lemont 7,864,612,303,259,28,9,599
Lemont 8,"1,193",855,415,369,37,13,834
Lemont 9,740,527,346,141,23,7,517
Lemont 10,805,538,254,232,30,15,531
Lemont 11,"1,424","1,025",589,365,46,6,"1,006"
Lemont 12,"1,262","1,222",708,436,47,10,"1,201"
Lemont 13,"1,367","1,016",623,329,38,6,996
Lemont 14,"1,017",745,457,239,32,4,732
Leyden 1,805,513,175,303,11,11,500
Leyden 2,649,408,155,233,9,3,400
Leyden 3,"1,334",842,331,474,13,11,829
Leyden 4,"1,023",611,167,404,15,10,596
Leyden 5,969,648,200,402,28,6,636
Leyden 6,"1,307",846,286,515,16,12,829
Leyden 7,573,364,116,223,10,9,358
Leyden 8,"1,155",766,268,452,23,11,754
Leyden 9,"1,145",899,396,450,24,8,878
Leyden 10,"1,246",850,302,496,27,6,831
Leyden 11,"1,079",721,304,374,23,13,714
Leyden 12,956,774,503,232,20,5,760
Leyden 13,"1,155",721,232,447,20,9,708
Leyden 14,789,544,220,293,16,6,535
Leyden 15,"1,164",730,250,428,21,14,713
Leyden 16,"1,152",768,254,474,17,14,759
Leyden 17,898,611,251,331,13,10,605
Leyden 18,642,452,156,261,18,7,442
Leyden 19,"1,068",705,247,405,22,18,692
Leyden 20,559,373,159,188,14,4,365
Leyden 21,726,479,68,388,4,6,466
Leyden 22,652,526,258,231,22,5,516
Leyden 23,"1,492","1,141",475,593,43,9,"1,120"
Leyden 24,"1,251",783,207,530,17,11,765
Leyden 25,807,491,218,249,5,10,482
Leyden 26,"1,383","1,035",405,572,29,13,"1,019"
Leyden 27,293,187,72,104,7,2,185
Leyden 28,559,348,96,234,7,7,344
Leyden 29,737,460,92,333,18,7,450
Leyden 30,"1,251",833,375,396,33,17,821
Leyden 31,"1,153",729,203,469,25,17,714
Leyden 32,"1,136",773,250,479,21,12,762
Leyden 33,"1,060",728,242,440,21,10,713
Leyden 34,892,548,191,333,11,6,541
Leyden 35,480,336,96,211,17,2,326
Leyden 36,"1,028",683,227,410,19,16,672
Leyden 37,805,516,205,274,12,16,507
Leyden 38,449,280,114,146,10,6,276
Leyden 39,744,473,167,270,14,10,461
Leyden 40,"1,018",644,195,405,23,7,630
Leyden 41,566,367,85,267,6,5,363
Leyden 42,"1,086",726,377,303,21,9,710
Leyden 43,778,511,166,303,15,8,492
Leyden 44,"1,036",634,260,339,20,5,624
Leyden 45,966,602,231,333,21,11,596
Leyden 46,899,609,189,375,27,7,598
Leyden 47,"1,018",646,225,388,12,7,632
Leyden 48,"1,196",788,222,516,26,11,775
Leyden 49,"1,462",991,380,552,22,14,968
Leyden 50,"1,289",844,272,507,32,15,826
Lyons 1,98,81,21,52,5,0,78
Lyons 2,719,569,183,344,20,8,555
Lyons 3,910,607,228,341,16,11,596
Lyons 4,"1,300","1,002",297,610,50,24,981
Lyons 5,946,716,271,402,23,7,703
Lyons 6,650,467,167,268,15,9,459
Lyons 7,875,610,60,489,15,19,583
Lyons 8,699,383,144,221,9,3,377
Lyons 9,961,789,170,553,32,8,763
Lyons 10,745,582,175,362,27,8,572
Lyons 11,642,506,136,313,33,5,487
Lyons 12,637,491,243,198,22,6,469
Lyons 13,390,290,9,272,3,0,284
Lyons 14,"1,052",854,243,500,52,11,806
Lyons 15,982,770,205,481,45,9,740
Lyons 16,"1,354","1,134",274,760,52,17,"1,103"
Lyons 17,574,446,196,222,13,2,433
Lyons 18,715,604,174,355,41,7,577
Lyons 19,"1,053",718,230,440,22,10,702
Lyons 20,"1,341","1,088",364,602,73,18,"1,057"
Lyons 21,"1,325","1,085",313,627,70,8,"1,018"
Lyons 22,715,454,134,298,9,7,448
Lyons 23,"1,061",806,426,331,26,6,789
Lyons 24,720,579,205,292,42,18,557
Lyons 25,931,671,285,331,34,8,658
Lyons 26,591,462,181,225,28,9,443
Lyons 27,848,625,316,234,37,9,596
Lyons 28,"1,064",814,395,352,39,4,790
Lyons 29,944,618,318,275,9,7,609
Lyons 30,161,128,63,52,7,3,125
Lyons 31,827,685,290,324,44,9,667
Lyons 32,390,290,149,126,7,4,286
Lyons 33,413,259,131,114,10,3,258
Lyons 34,453,331,128,184,13,3,328
Lyons 35,990,658,360,265,12,8,645
Lyons 36,944,691,372,260,32,9,673
Lyons 37,695,487,167,277,22,11,477
Lyons 38,627,338,118,199,7,5,329
Lyons 39,838,694,198,422,42,9,671
Lyons 40,687,576,175,327,41,3,546
Lyons 41,616,482,252,185,27,5,469
Lyons 42,834,659,242,334,50,7,633
Lyons 43,742,590,203,320,43,6,572
Lyons 44,"1,354","1,078",424,536,55,11,"1,026"
Lyons 45,"1,234",944,303,552,36,26,917
Lyons 46,771,589,306,249,20,4,579
Lyons 47,846,669,232,371,35,11,649
Lyons 48,971,647,254,356,18,10,638
Lyons 49,660,467,241,177,25,17,460
Lyons 50,"1,037",773,268,437,36,12,753
Lyons 51,891,577,239,292,17,9,557
Lyons 52,"1,028",734,305,372,23,12,712
Lyons 53,904,704,343,306,30,10,689
Lyons 54,508,379,143,198,19,8,368
Lyons 55,972,761,319,351,41,9,720
Lyons 56,"1,558",948,235,663,20,12,930
Lyons 57,"1,193",727,126,565,13,15,719
Lyons 58,"1,059",601,283,288,9,13,593
Lyons 59,899,594,191,362,17,16,586
Lyons 60,"1,564","1,021",102,856,9,15,982
Lyons 61,875,683,292,326,26,19,663
Lyons 62,426,329,192,104,18,6,320
Lyons 63,"1,278","1,000",519,411,39,8,977
Lyons 64,934,638,237,359,17,14,627
Lyons 65,"1,328",842,393,402,22,10,827
Lyons 66,659,441,132,283,16,5,436
Lyons 67,"1,052",740,245,453,21,9,728
Lyons 68,753,527,189,301,10,12,512
Lyons 69,"1,094",898,360,459,36,8,863
Lyons 70,773,601,20,561,2,9,592
Lyons 71,634,351,111,220,12,6,349
Lyons 72,"1,050",857,288,481,51,10,830
Lyons 73,847,631,256,341,18,8,623
Lyons 74,576,379,155,200,10,7,372
Lyons 75,821,501,207,268,10,8,493
Lyons 76,798,526,227,270,13,8,518
Lyons 77,"1,001",591,281,274,14,7,576
Lyons 78,649,469,238,199,17,5,459
Maine 1,887,580,194,360,11,5,570
Maine 2,906,625,194,400,8,14,616
Maine 3,501,383,150,213,11,8,382
Maine 4,898,681,238,391,30,6,665
Maine 5,"1,467",995,295,647,15,7,964
Maine 6,"1,306",990,317,608,28,16,969
Maine 7,743,538,186,301,32,9,528
Maine 8,"1,169",789,309,418,30,8,765
Maine 9,"1,412","1,054",298,666,43,21,"1,028"
Maine 10,674,495,158,285,35,4,482
Maine 11,620,481,179,264,18,3,464
Maine 12,646,469,157,265,24,11,457
Maine 13,913,663,250,367,28,7,652
Maine 14,"1,109",853,281,482,35,17,815
Maine 15,559,412,130,271,3,5,409
Maine 16,663,480,170,274,18,9,471
Maine 17,998,687,251,391,29,7,678
Maine 18,796,594,195,348,26,10,579
Maine 19,616,444,172,251,11,4,438
Maine 20,507,376,118,221,21,8,368
Maine 21,"1,130",890,317,493,40,10,860
Maine 22,"1,082",869,311,480,41,11,843
Maine 23,"1,041",713,253,409,21,17,700
Maine 24,"1,137",895,305,509,38,9,861
Maine 25,960,759,221,466,38,13,738
Maine 26,762,577,210,320,20,10,560
Maine 27,547,466,157,281,14,3,455
Maine 28,662,414,90,295,14,6,405
Maine 29,"1,333","1,029",439,502,43,24,"1,008"
Maine 30,"1,944","1,523",550,843,58,21,"1,472"
Maine 31,970,695,259,399,19,9,686
Maine 32,650,440,212,203,13,3,431
Maine 33,900,594,127,452,7,2,588
Maine 34,"1,125",828,256,515,26,14,811
Maine 35,778,577,143,384,29,6,562
Maine 36,821,651,284,321,25,7,637
Maine 37,948,718,319,346,34,2,701
Maine 38,746,552,212,300,19,11,542
Maine 39,"1,032",741,298,394,28,9,729
Maine 40,"1,004",730,249,450,15,3,717
Maine 41,782,562,228,293,23,13,557
Maine 42,"1,230",968,340,542,50,7,939
Maine 43,714,566,268,243,28,6,545
Maine 44,590,455,156,256,25,5,442
Maine 45,547,336,96,225,4,5,330
Maine 46,"1,115",739,337,364,17,6,724
Maine 47,992,714,218,446,25,11,700
Maine 48,"1,001",785,264,455,36,15,770
Maine 49,905,661,237,397,13,4,651
Maine 50,800,604,239,311,25,7,582
Maine 51,"1,166",737,262,434,22,5,723
Maine 52,809,627,187,375,28,7,597
Maine 53,941,624,180,392,21,14,607
Maine 54,866,690,240,380,32,8,660
Maine 55,813,597,276,290,17,4,587
Maine 56,"1,305",881,311,508,29,18,866
Maine 57,882,587,176,391,9,5,581
Maine 58,"1,176",811,365,400,16,15,796
Maine 59,940,681,299,346,17,10,672
Maine 60,"1,567","1,208",547,577,52,12,"1,188"
Maine 61,549,412,170,214,12,6,402
Maine 62,570,387,120,253,6,1,380
Maine 63,745,504,189,289,8,5,491
Maine 64,778,534,214,287,17,5,523
Maine 65,710,504,214,247,19,12,492
Maine 66,493,358,157,174,12,4,347
Maine 67,"1,245",976,472,419,40,14,945
Maine 68,673,478,165,271,16,15,467
Maine 69,"1,106",741,293,406,18,12,729
Maine 70,"1,300",830,237,549,14,9,809
Maine 71,534,380,133,227,10,4,374
Maine 72,774,556,242,268,28,4,542
Maine 73,428,295,140,144,3,2,289
Maine 74,743,558,183,336,16,6,541
Maine 75,848,638,282,313,25,5,625
Maine 76,517,375,157,196,8,5,366
Maine 77,"1,490","1,026",410,533,47,20,"1,010"
Maine 78,"1,033",691,183,482,11,4,680
Maine 79,"1,148",697,155,506,15,16,692
Maine 80,706,583,227,313,23,8,571
Maine 81,770,539,208,312,8,1,529
Maine 82,799,595,217,332,21,14,584
Maine 83,685,488,220,247,11,2,480
Maine 84,622,431,158,256,8,4,426
Maine 85,490,372,149,200,9,5,363
Maine 86,952,594,145,421,17,6,589
Maine 87,560,432,162,234,18,5,419
Maine 88,600,458,232,185,18,5,440
Maine 89,770,547,209,312,6,12,539
Maine 90,629,418,209,194,8,4,415
Maine 91,"1,344",974,350,553,33,19,955
Maine 92,"1,001",620,237,341,14,9,601
New Trier 1,"1,431","1,149",198,836,51,7,"1,092"
New Trier 2,"1,467","1,205",211,909,30,8,"1,158"
New Trier 3,975,781,150,566,32,11,759
New Trier 4,"1,188",996,161,740,44,10,955
New Trier 5,803,636,112,476,27,3,618
New Trier 6,669,583,100,432,19,4,555
New Trier 7,976,769,192,508,35,3,738
New Trier 8,822,648,201,378,37,6,622
New Trier 9,"1,125",864,231,520,53,13,817
New Trier 10,948,770,207,469,45,6,727
New Trier 11,"1,286",984,291,550,75,12,928
New Trier 12,"1,156",903,248,525,58,10,841
New Trier 13,"1,336","1,043",294,653,45,17,"1,009"
New Trier 14,"1,119",920,257,542,61,9,869
New Trier 15,"1,404","1,063",292,649,57,13,"1,011"
New Trier 16,"1,393","1,109",302,652,81,9,"1,044"
New Trier 17,955,749,155,541,26,9,731
New Trier 18,749,601,137,397,27,15,576
New Trier 19,800,605,235,265,59,8,567
New Trier 20,"1,363","1,075",330,632,52,20,"1,034"
New Trier 21,"1,127",878,191,626,29,5,851
New Trier 22,975,779,288,383,52,11,734
New Trier 23,"1,095",863,316,406,60,9,791
New Trier 24,"1,293",966,211,707,16,15,949
New Trier 25,842,680,152,423,60,7,642
New Trier 26,738,584,104,437,14,3,558
New Trier 27,941,784,142,573,40,10,765
New Trier 28,834,671,184,424,29,7,644
New Trier 29,907,733,193,457,45,3,698
New Trier 30,"1,225","1,009",236,636,74,10,956
New Trier 31,997,815,147,599,36,9,791
New Trier 32,882,706,120,516,31,6,673
New Trier 33,"1,078",906,150,679,50,8,887
New Trier 34,883,650,170,448,16,5,639
New Trier 35,572,484,129,313,17,2,461
New Trier 36,"1,208","1,002",168,731,53,4,956
New Trier 37,948,785,140,566,45,4,755
New Trier 38,954,788,129,584,39,11,763
New Trier 39,692,547,143,376,13,3,535
New Trier 40,594,493,134,302,24,4,464
New Trier 41,827,650,202,363,42,6,613
Niles 1,"1,090",781,338,388,28,10,764
