Precinct,Registered Voters,Ballots Cast,Donald J. Trump & Michael R. Pence,Hillary R. Clinton & Timothy M. Kaine,Gary Johnson & Bill Weld,Jill Stein & Ajamu Baraka,Total Votes
Worth 57,978,719,273,395,28,8,704
Worth 58,"1,055",768,318,398,29,12,757
Worth 59,"1,082",838,118,684,6,15,823
Worth 60,583,425,189,194,19,11,413
Worth 61,894,612,305,265,18,11,599
Worth 62,537,405,179,186,21,6,392
Worth 63,975,698,211,443,19,9,682
Worth 64,"1,254",975,550,359,30,17,956
Worth 65,"1,328","1,014",557,381,40,14,992
Worth 66,795,515,250,230,15,6,501
Worth 67,685,459,236,188,21,3,448
Worth 68,690,513,94,395,12,8,509
Worth 69,"1,120",768,198,517,28,7,750
Worth 70,"1,190",825,359,406,25,11,801
Worth 71,838,556,257,259,23,8,547
Worth 72,"1,034",758,244,460,30,8,742
Worth 73,672,426,139,259,18,6,422
Worth 74,568,366,168,172,10,3,353
Worth 75,"1,171",828,332,427,32,22,813
Worth 76,540,352,121,205,8,12,346
Worth 77,924,714,266,406,20,10,702
Worth 78,"1,323",832,355,424,25,14,818
Worth 79,631,477,272,181,9,5,467
Worth 80,"1,084",757,155,557,16,16,744
Worth 81,771,499,276,198,12,4,490
Worth 82,987,672,321,303,24,16,664
Worth 83,526,341,91,238,5,4,338
Worth 84,965,699,299,346,33,7,685
Worth 85,917,675,279,348,16,16,659
Worth 86,"1,061",699,318,343,19,7,687
Worth 87,858,582,248,299,19,5,571
Worth 88,655,417,144,245,7,7,403
Worth 89,"1,091",881,474,348,30,10,862
Worth 90,"1,276",745,259,453,13,10,735
Worth 91,522,395,149,217,13,5,384
Worth 92,"1,004",737,308,378,28,11,725
Worth 93,543,403,154,206,19,9,388
Worth 94,"1,184",797,327,418,17,19,781
Worth 95,971,708,391,256,28,16,691
Worth 96,"1,130",817,204,568,18,11,801
Worth 97,752,538,95,415,8,4,522
Worth 98,"1,130",797,337,390,34,17,778
Worth 99,693,446,208,212,10,7,437
Worth 100,993,727,294,385,27,12,718
Suburban Cook County,"1,512,190","1,089,840","317,970","699,003","34,234","14,845","1,066,052"
