Contest,Candidate Issue,Party,Precinct Name,Provisional Votes,Mail Votes,Early Votes,Election Day Votes,Total Votes,% of Total Votes
President and Vice President,Donald J. Trump,REP,PRECINCT 117.0,0,82,123,64,269,14.25
President and Vice President,Donald J. Trump,REP,PRECINCT 118.0,0,79,133,73,285,32.91
President and Vice President,Donald J. Trump,REP,PRECINCT 119.0,0,309,341,124,774,48.13
President and Vice President,Donald J. Trump,REP,PRECINCT 120.0,0,146,89,48,283,54.95
President and Vice President,Donald J. Trump,REP,PRECINCT 121.0,0,96,111,74,281,30.25
President and Vice President,Donald J. Trump,REP,PRECINCT 122.0,0,0,0,0,3,37.50
President and Vice President,Donald J. Trump,REP,PRECINCT 123.0,0,281,376,135,792,28.22
President and Vice President,Donald J. Trump,REP,PRECINCT 123.1,0,0,0,0,0,0.00
President and Vice President,Donald J. Trump,REP,PRECINCT 124.0,0,505,662,320,1487,49.87
President and Vice President,Donald J. Trump,REP,PRECINCT 125.0,0,39,38,62,139,36.87
President and Vice President,Donald J. Trump,REP,PRECINCT 126.0,0,62,92,44,198,13.93
President and Vice President,Donald J. Trump,REP,PRECINCT 127.0,0,107,147,81,335,13.29
President and Vice President,Donald J. Trump,REP,PRECINCT 128.0,0,77,101,50,228,12.78
President and Vice President,Donald J. Trump,REP,PRECINCT 129.0,0,73,120,67,260,13.27
President and Vice President,Donald J. Trump,REP,PRECINCT 130.0,0,141,169,80,390,14.06
President and Vice President,Donald J. Trump,REP,PRECINCT 131.0,0,144,176,85,405,19.77
President and Vice President,Donald J. Trump,REP,PRECINCT 133.0,0,66,91,70,227,18.46
President and Vice President,Donald J. Trump,REP,PRECINCT 134.0,0,74,79,32,185,11.42
President and Vice President,Donald J. Trump,REP,PRECINCT 135.0,0,102,112,56,270,14.36
President and Vice President,Donald J. Trump,REP,PRECINCT 136.0,0,101,165,68,334,15.17
President and Vice President,Donald J. Trump,REP,PRECINCT 137.0,0,0,0,0,48,15.69
President and Vice President,Donald J. Trump,REP,PRECINCT 138.0,0,48,73,40,161,11.99
President and Vice President,Donald J. Trump,REP,PRECINCT 138.1,0,0,0,0,0,0.00
President and Vice President,Donald J. Trump,REP,PRECINCT 139.0,0,0,0,0,113,12.70
President and Vice President,Donald J. Trump,REP,PRECINCT 140.0,0,87,118,52,257,11.71
President and Vice President,Donald J. Trump,REP,PRECINCT 141.0,0,58,96,33,187,12.86
President and Vice President,Donald J. Trump,REP,PRECINCT 142.0,0,132,210,79,421,16.83
President and Vice President,Donald J. Trump,REP,PRECINCT 143.0,0,132,232,104,468,18.45
President and Vice President,Donald J. Trump,REP,PRECINCT 144.0,0,0,0,0,24,11.71
President and Vice President,Donald J. Trump,REP,PRECINCT 145.0,0,0,0,0,34,7.80
President and Vice President,Donald J. Trump,REP,PRECINCT 146.0,0,347,486,192,1025,38.96
President and Vice President,Donald J. Trump,REP,PRECINCT 148.0,0,323,426,132,881,41.34
President and Vice President,Donald J. Trump,REP,PRECINCT 149.0,0,293,275,71,639,33.74
President and Vice President,Donald J. Trump,REP,PRECINCT 150.0,0,0,0,0,74,13.53
President and Vice President,Donald J. Trump,REP,PRECINCT 151.0,0,0,0,0,95,23.28
President and Vice President,Donald J. Trump,REP,PRECINCT 152.0,0,106,117,37,260,18.84
President and Vice President,Donald J. Trump,REP,PRECINCT 153.0,0,0,0,0,17,22.08
President and Vice President,Donald J. Trump,REP,PRECINCT 154.0,0,89,121,51,261,21.77
President and Vice President,Donald J. Trump,REP,PRECINCT 155.0,0,85,142,68,295,22.00
President and Vice President,Donald J. Trump,REP,PRECINCT 156.0,0,141,175,93,409,26.59
President and Vice President,Donald J. Trump,REP,PRECINCT 157.0,0,170,162,129,461,35.38
President and Vice President,Donald J. Trump,REP,PRECINCT 158.0,0,0,0,0,96,30.48
President and Vice President,Donald J. Trump,REP,PRECINCT 159.0,0,60,82,69,211,16.41
President and Vice President,Donald J. Trump,REP,PRECINCT 160.0,0,33,68,37,138,16.12
President and Vice President,Donald J. Trump,REP,PRECINCT 161.0,0,34,77,45,156,13.46
President and Vice President,Donald J. Trump,REP,PRECINCT 161.1,0,0,0,0,5,29.41
President and Vice President,Donald J. Trump,REP,PRECINCT 162.0,0,0,0,0,132,12.49
President and Vice President,Donald J. Trump,REP,PRECINCT 163.0,0,0,0,0,140,15.22
President and Vice President,Donald J. Trump,REP,PRECINCT 164.0,0,76,118,46,240,18.31
President and Vice President,Donald J. Trump,REP,PRECINCT 165.0,0,0,0,0,42,23.73
President and Vice President,Donald J. Trump,REP,PRECINCT 166.0,0,0,0,0,51,17.71
President and Vice President,Donald J. Trump,REP,PRECINCT 167.0,0,0,0,0,227,41.65
